market_id,entry_time,end_time,closed_time,resolution_time,side,stake,settle_value,pnl,market_price,model_prob,edge,kelly_raw,bet_fraction,sizing_method,cash_before_entry,wallet_before_entry,outcome_yes,cash_after_resolution,roi_on_stake
1702420,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 15:33:45+00:00,2026-04-03 15:33:45+00:00,NO,26.26132074980186,101.00507980693023,74.74375905712836,0.74,0.6842105263157895,-0.0557894736842105,0.07539118065433852,0.01884779516358463,fractional_kelly,291.12877590359784,1393.3364895932616,0,1554.773599316331,2.8461538461538454
1520643,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 15:34:01+00:00,2026-04-03 15:34:01+00:00,NO,16.059919792609158,36.08970739912171,20.02978760651255,0.555,0.5294117647058824,-0.02558823529411769,0.046104928457869704,0.011526232114467426,fractional_kelly,264.86745515379596,1393.3364895932614,0,1590.8633067154526,1.2471910112359552
1702418,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 15:37:57+00:00,2026-04-03 15:37:57+00:00,YES,139.33364895932615,0.0,-139.33364895932615,0.84,1.0,0.16000000000000003,1.0,0.1,fractional_kelly,248.8075353611868,1393.3364895932616,0,1590.8633067154526,-1.0
1520692,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 19:16:31+00:00,2026-04-03 19:16:31+00:00,YES,16.470279605283793,0.0,-16.470279605283793,0.455,0.4807692307692308,0.025769230769230766,0.04728299223712068,0.01182074805928017,fractional_kelly,109.47388640186065,1393.3364895932616,0,1590.8633067154526,-1.0
1520694,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 19:17:27+00:00,2026-04-03 19:17:27+00:00,YES,12.10427452349357,0.0,-12.10427452349357,0.26,0.2857142857142857,0.02571428571428569,0.034749034749034714,0.008687258687258679,fractional_kelly,93.00360679657686,1393.3364895932614,0,1590.8633067154526,-1.0
1789070,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 22:30:39+00:00,2026-04-03 22:30:39+00:00,YES,50.20495225254732,0.0,-50.20495225254732,0.365,0.45652173913043476,0.09152173913043476,0.14412872304005475,0.03603218076001369,fractional_kelly,80.89933227308329,1393.3364895932614,0,0.0,-1.0
1519163,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 22:35:37+00:00,2026-04-03 22:35:37+00:00,NO,19.71702579613108,41.95111871517251,22.234092919041434,0.53,0.5,-0.030000000000000027,0.05660377358490571,0.014150943396226428,fractional_kelly,30.694380020535966,1393.3364895932616,0,41.95111871517251,1.1276595744680853
1733650,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 22:39:17+00:00,2026-04-03 22:39:17+00:00,YES,10.977354224404888,27.790770188366803,16.813415963961916,0.395,0.45652173913043476,0.06152173913043474,0.10168882500898305,0.025422206252245762,fractional_kelly,10.977354224404888,1393.3364895932616,1,69.74188890353932,1.5316455696202531
658966,2026-04-03 21:00:00+00:00,2026-04-03 23:00:00+00:00,2026-03-29 04:38:26+00:00,2026-03-29 04:38:26+00:00,NO,167.1762638988536,171.1994509972899,4.023187098436296,0.0235,0.0,-0.0235,1.0,0.1,fractional_kelly,1590.8633067154526,1671.7626389885359,0,1594.8864938138888,0.02406554019457235
1760818,2026-04-03 21:00:00+00:00,2026-04-03 23:00:00+00:00,2026-04-04 04:22:17+00:00,2026-04-04 04:22:17+00:00,YES,167.57858260869722,181.16603525264563,13.58745264394841,0.925,1.0,0.07499999999999996,1.0,0.1,fractional_kelly,1594.8864938138888,1675.785826086972,1,250.90792415618495,0.081081081081081
1760815,2026-04-03 21:00:00+00:00,2026-04-03 23:00:00+00:00,2026-04-04 04:26:27+00:00,2026-04-04 04:26:27+00:00,NO,167.57858260869722,181.16603525264563,13.58745264394841,0.075,0.0,-0.075,1.0,0.1,fractional_kelly,1427.3079112051917,1675.785826086972,0,432.07395940883055,0.081081081081081
1760817,2026-04-03 21:00:00+00:00,2026-04-03 23:00:00+00:00,2026-04-04 05:26:03+00:00,2026-04-04 05:26:03+00:00,YES,167.57858260869725,189.35433063129634,21.77574802259909,0.885,1.0,0.11499999999999999,1.0,0.1,fractional_kelly,1259.7293285964945,1675.7858260869723,1,621.4282900401269,0.12994350282485884
1525608,2026-04-03 21:00:00+00:00,2026-04-03 23:00:00+00:00,2026-04-04 06:12:45+00:00,2026-04-04 06:12:45+00:00,YES,60.38221780063465,0.0,-60.38221780063465,0.365,0.45652173913043476,0.09152173913043476,0.14412872304005475,0.03603218076001369,fractional_kelly,1092.1507459877973,1675.7858260869723,0,621.4282900401269,-1.0
1524912,2026-04-03 21:00:00+00:00,2026-04-03 23:00:00+00:00,2026-04-04 06:49:57+00:00,2026-04-04 06:49:57+00:00,YES,16.113325250836265,35.02896793660057,18.915642685764308,0.46,0.4807692307692308,0.020769230769230762,0.03846153846153844,0.00961538461538461,fractional_kelly,1031.7685281871627,1675.7858260869723,1,656.4572579767274,1.1739130434782605
1846960,2026-04-03 21:00:00+00:00,2026-04-03 23:00:00+00:00,2026-04-04 07:02:35+00:00,2026-04-04 07:02:35+00:00,YES,27.000707177077004,0.0,-27.000707177077004,0.445,0.4807692307692308,0.035769230769230775,0.06444906444906447,0.016112266112266117,fractional_kelly,1015.6552029363264,1675.7858260869723,0,656.4572579767274,-1.0
1840571,2026-04-03 21:00:00+00:00,2026-04-03 23:00:00+00:00,2026-04-04 07:27:33+00:00,2026-04-04 07:27:33+00:00,NO,19.94983126294016,41.99964476408455,22.04981350114439,0.525,0.5,-0.025000000000000022,0.04761904761904766,0.011904761904761915,fractional_kelly,988.6544957592494,1675.7858260869723,0,698.456902740812,1.1052631578947367
