category,horizon_min,prob_bin,n,predicted_mean,observed_yes_rate,volume_mean
Sports,180,"[0.4,0.5)",327,0.4603058103975535,0.5076452599388379,737253.8203594036
Sports,180,"[0.5,0.6)",306,0.5332352941176471,0.5228758169934641,566116.4892289898
Sports,180,"[0.6,0.7)",110,0.6419545454545454,0.5727272727272728,661836.6180959725
Sports,180,"[0.7,0.8)",77,0.7457792207792208,0.6623376623376623,801313.2766982856
Sports,180,"[0.8,0.9)",46,0.8430434782608696,0.8478260869565217,773710.2108124358
Sports,180,"[0.9,1.0]",151,0.9922350993377484,1.0,377815.49406083446
Technology,180,"[0.0,0.1)",60,0.010041666666666667,0.03333333333333333,395897.93015650095
Technology,180,"[0.1,0.2)",9,0.14261111111111113,0.3333333333333333,130454.43487088889
Technology,180,"[0.2,0.3)",11,0.25272727272727274,0.2727272727272727,242762.13873690914
Technology,180,"[0.3,0.4)",7,0.33571428571428574,0.7142857142857143,131485.32327557143
Technology,180,"[0.4,0.5)",1,0.46,0.0,107163.36625000002
Technology,180,"[0.5,0.6)",3,0.5311666666666667,0.6666666666666666,123065.36764533333
Technology,180,"[0.7,0.8)",1,0.73,1.0,177944.47075699986
Technology,180,"[0.8,0.9)",2,0.8325,1.0,112722.75828399995
Technology,180,"[0.9,1.0]",4,0.9790000000000001,1.0,621564.4743074997
Uncategorized,180,"[0.0,0.1)",98,0.009204081632653061,0.01020408163265306,243209.32201429602
Uncategorized,180,"[0.1,0.2)",10,0.1462,0.3,163790.31057469992
Uncategorized,180,"[0.2,0.3)",24,0.24345833333333333,0.3333333333333333,158615.68047654172
Uncategorized,180,"[0.3,0.4)",19,0.35973684210526313,0.3157894736842105,233125.14831526307
Uncategorized,180,"[0.4,0.5)",33,0.4631818181818182,0.3333333333333333,160474.30997069692
Uncategorized,180,"[0.5,0.6)",654,0.5051987767584097,0.48623853211009177,132977.8098125916
