horizon_min,volume_bucket,n,mean_abs_isotonic_gap,median_abs_isotonic_gap,mean_signed_isotonic_gap,share_positive_isotonic_gap,decile_volume_min,decile_volume_max
900,Decile 1 (lowest),382,0.011615558735769384,0.0025,-0.0064893220683514535,0.5890052356020943,88437.42444700007,99264.73892299952
900,Decile 2,382,0.010473791986705927,0.0022500000000000003,-0.0073144470062639615,0.5471204188481675,99273.236487,110450.04918999996
900,Decile 3,381,0.00785053229110197,0.0005,-0.003132900845617409,0.6666666666666666,110526.95516499988,125220.07910199992
900,Decile 4,382,0.007841817784433842,0.0004999999999999449,-0.0025630136039730086,0.7120418848167539,125238.31856700036,144070.52686999956
900,Decile 5,381,0.0073457320094960105,0.0004999999999999449,-0.003540482248883037,0.6771653543307087,144078.13384399982,168660.530161
900,Decile 6,382,0.009308277247165814,0.0005,-0.0034210103794766475,0.6780104712041884,168798.23919400008,208528.672651
900,Decile 7,381,0.011412821272261344,0.0025,-0.002722613790724298,0.6299212598425197,208626.10884100007,298180.29561499966
900,Decile 8,382,0.015878893549408045,0.006800395256917002,-0.0024748388430592743,0.581151832460733,298364.1806650002,485937.6633590004
900,Decile 9,381,0.019970005940600048,0.011645631067961166,-0.004574468831874572,0.5065616797900262,486348.7467639999,934723.1452180012
900,Decile 10 (highest),382,0.017280226810120265,0.010209580838323351,-0.003864992606166696,0.5523560209424084,938382.735690989,172972056.63332495
960,Decile 1 (lowest),367,0.015037140576307569,0.005258107213765739,-0.008935003972663294,0.2098092643051771,88437.42444700007,99714.21235099983
960,Decile 2,367,0.013250574830205919,0.005258107213765739,-0.009668544920559352,0.19618528610354224,99738.655973,110991.38481200006
960,Decile 3,366,0.011426632442298726,0.005258107213765739,-0.005124724020838886,0.273224043715847,111071.03035499997,126509.56250599957
960,Decile 4,367,0.012149260933175175,0.005258107213765739,-0.00840773042253463,0.1989100817438692,126623.28856699952,146180.7330809999
