horizon_min,volume_bucket,n_rows,n_price_available,n_staleness_available,mean_staleness_min,median_staleness_min,p90_staleness_min,decile_volume_min,decile_volume_max
720,Decile 1 (lowest),3000,513,513,226.6783625730994,9.35,9.55,88428.8872629999,100493.179272
720,Decile 2,3000,514,514,350.9758430609598,9.383333333333333,9.566666666666666,100494.427236,113333.845187
720,Decile 3,3000,440,440,476.9139393939394,9.383333333333333,9.566666666666666,113337.833364,128599.649061
720,Decile 4,3000,400,400,494.121875,9.383333333333333,9.583333333333334,128612.266046,146338.090948
720,Decile 5,3000,434,434,518.4309523809524,9.4,9.6,146342.78853100023,170866.05737899995
720,Decile 6,3000,375,375,953.8713777777778,9.4,6053.143333333359,170884.843911,207390.394031
720,Decile 7,3000,307,307,1138.6390336590662,9.383333333333333,7599.216666666666,207390.49136199968,267325.838332
720,Decile 8,3000,320,320,1161.6793750000002,9.383333333333333,7398.218333333338,267391.98381600075,387725.630436
720,Decile 9,3000,434,434,865.0968509984639,9.383333333333333,1938.459999999996,387838.113042,711162.203510001
720,Decile 10 (highest),3000,503,503,561.6692842942347,9.366666666666667,9.6,711337.070103,235065166.637259
780,Decile 1 (lowest),3000,480,480,239.95229166666667,9.366666666666667,9.618333333333334,88428.8872629999,100493.179272
780,Decile 2,3000,494,494,362.31484480431845,9.383333333333333,9.616666666666667,100494.427236,113333.845187
780,Decile 3,3000,413,413,504.1656981436642,9.4,9.65,113337.833364,128599.649061
780,Decile 4,3000,384,384,510.74735243055557,9.4,9.65,128612.266046,146338.090948
780,Decile 5,3000,412,412,541.4663430420712,9.416666666666666,19.165000000000003,146342.78853100023,170866.05737899995
780,Decile 6,3000,364,364,975.109661172161,9.433333333333334,6617.28833333333,170884.843911,207390.394031
780,Decile 7,3000,303,303,1144.729812981298,9.4,7539.283333333333,207390.49136199968,267325.838332
780,Decile 8,3000,318,318,1158.79250524109,9.4,7376.188333333335,267391.98381600075,387725.630436
780,Decile 9,3000,434,434,858.1591397849462,9.4,1878.459999999996,387838.113042,711162.203510001
780,Decile 10 (highest),3000,503,503,556.9532803180914,9.383333333333333,19.133333333333333,711337.070103,235065166.637259
840,Decile 1 (lowest),3000,452,452,251.64044985250737,9.3,9.616666666666667,88428.8872629999,100493.179272
840,Decile 2,3000,454,454,390.346328928047,9.35,9.633333333333333,100494.427236,113333.845187
840,Decile 3,3000,388,388,531.8167096219931,9.366666666666667,9.616666666666667,113337.833364,128599.649061
840,Decile 4,3000,366,366,531.4351092896175,9.366666666666667,9.65,128612.266046,146338.090948
840,Decile 5,3000,388,388,569.3695876288659,9.4,9.655000000000001,146342.78853100023,170866.05737899995
840,Decile 6,3000,358,358,983.4398044692738,9.433333333333334,6644.373333333334,170884.843911,207390.394031
840,Decile 7,3000,301,301,1143.2212070874862,9.316666666666666,7479.316666666667,207390.49136199968,267325.838332
840,Decile 8,3000,317,317,1151.6963722397477,9.35,7335.1733333333395,267391.98381600075,387725.630436
840,Decile 9,3000,432,432,854.6298225308642,9.383333333333333,1892.4200000000126,387838.113042,711162.203510001
840,Decile 10 (highest),3000,502,502,553.3699867197876,9.283333333333331,19.183333333333334,711337.070103,235065166.637259
900,Decile 1 (lowest),3000,425,425,264.8813333333333,9.366666666666667,9.616666666666667,88428.8872629999,100493.179272
900,Decile 2,3000,428,428,410.0490264797508,9.383333333333333,9.6,100494.427236,113333.845187
900,Decile 3,3000,366,366,559.3248178506375,9.383333333333333,9.616666666666667,113337.833364,128599.649061
900,Decile 4,3000,347,347,555.6093659942363,9.383333333333333,9.616666666666667,128612.266046,146338.090948
900,Decile 5,3000,367,367,596.41080835604,9.4,19.066666666666663,146342.78853100023,170866.05737899995
900,Decile 6,3000,347,347,1006.3257444764649,9.433333333333334,6651.460000000003,170884.843911,207390.394031
900,Decile 7,3000,289,289,1180.4051903114187,9.366666666666667,7565.213333333333,207390.49136199968,267325.838332
