horizon_min,volume_bucket,n,mean_abs_isotonic_gap,std_abs_isotonic_gap,mean_signed_isotonic_gap,share_positive_isotonic_gap,decile_volume_min,decile_volume_max,mean_abs_gap_ci95_low,mean_abs_gap_ci95_high,rank_abs_gap_within_horizon,is_lowest_abs_gap_within_horizon,is_highest_abs_gap_within_horizon
180,Decile 7,592,0.01060665322010467,0.021224995735872818,-0.00016454169020278943,0.7246621621621622,166656.53974500007,203028.0023289996,0.008896862995881041,0.012316443444328298,6,False,False
180,Decile 8,593,0.01608874069276492,0.025678725878123632,-0.0007500486362290254,0.6340640809443507,203115.647382,313987.9694390004,0.014021922879836602,0.018155558505693236,8,False,False
180,Decile 9,593,0.023331835940495437,0.031225570091577424,-0.0037666966230789647,0.4856661045531197,314110.79968599987,640212.8634249978,0.02081856620934047,0.025845105671650406,9,False,False
180,Decile 10 (highest),593,0.03006822072149968,0.03342067209954953,-0.006872446826310235,0.5143338954468802,641351.5254000005,172972056.63332495,0.027378272600894843,0.032758168842104515,10,False,True
240,Decile 1 (lowest),576,0.009364748067439326,0.021568728556698145,-0.00302152044382136,0.6388888888888888,88431.65343399995,98095.83393799992,0.007603301901975644,0.011126194232903008,7,False,False
240,Decile 2,575,0.007854461244469988,0.018161397045798985,-0.0032701086865156406,0.662608695652174,98112.6661109998,107469.157088,0.006369991323592623,0.009338931165347352,5,False,False
240,Decile 3,576,0.007746330925002614,0.0180170114157004,-0.001071672817764146,0.6770833333333334,107500.71887000006,118174.29896499972,0.0062749416593870806,0.009217720190618147,4,False,False
240,Decile 4,575,0.007201348229502862,0.01796384549335957,-0.00018477952947660895,0.7356521739130435,118220.44906200006,131123.49112499962,0.005733025708337062,0.008669670750668662,3,False,False
240,Decile 5,576,0.006516053330217577,0.01729689908780373,0.00015531216148027949,0.7621527777777778,131166.4676169999,146863.46639900014,0.005103473238046939,0.007928633422388216,2,False,False
240,Decile 6,575,0.0063881699669849894,0.015237788150836158,-0.0011795509811854418,0.7339130434782609,146928.6267499998,168426.01631699968,0.005142668967608394,0.007633670966361585,1,True,False
240,Decile 7,575,0.008818474942618797,0.019456225826814458,-0.001159407615507873,0.6852173913043478,168490.08575300002,206826.5894040006,0.007228168759626983,0.010408781125610611,6,False,False
240,Decile 8,576,0.01348074886193542,0.02362207449897274,-0.0012214735344439238,0.609375,206836.29868999988,322056.88636099995,0.011551612777852646,0.015409884946018193,8,False,False
240,Decile 9,575,0.02274371931562412,0.03077012584971232,-0.002310231505053323,0.4956521739130435,322484.4204630001,649054.052956999,0.020228641528914154,0.025258797102334085,9,False,False
240,Decile 10 (highest),576,0.02450381947820217,0.031226515129552247,-0.005326157461457825,0.5017361111111112,649370.9538039993,172972056.63332495,0.0219536540759554,0.027053984880448936,10,False,True
300,Decile 1 (lowest),555,0.00949928140663568,0.023157179814130298,-0.0031009105979903175,0.6486486486486487,88432.19110999956,98201.25242799985,0.007572665029243463,0.011425897784027897,7,False,False
300,Decile 2,555,0.008590254226250569,0.021144199015640325,-0.003830677068411352,0.6432432432432432,98214.43023500017,107639.88549599989,0.006831112550219887,0.01034939590228125,5,False,False
