category,horizon_min,n,n_unique_markets,predicted_mean,observed_yes_rate,mae,brier,mean_signed_error,mean_volume
Technology,420,97,97,0.1493041237113402,0.2268041237113402,0.17786082474226803,0.10893467783505152,-0.0775,327531.3654151449
Economy,420,89,89,0.16493820224719102,0.16853932584269662,0.09502808988764044,0.04898660955056179,-0.0036011235955056148,3359638.341085194
World,420,27,27,0.08077777777777778,0.1111111111111111,0.12555555555555556,0.07484870370370371,-0.03033333333333333,5820820.331206614
Science,420,2,2,0.08,0.0,0.08,0.011950249999999999,0.08,201680.56840049993
Crypto,480,2325,2325,0.46958666666666665,0.4752688172043011,0.43891096774193544,0.21888977784946234,-0.005682150537634405,217477.01613832498
Sports,480,1391,1391,0.4694946081955428,0.47807332854061824,0.35887131560028757,0.18392572609633356,-0.008578720345075478,664830.4164649709
Uncategorized,480,702,702,0.4461296296296296,0.42735042735042733,0.4068076923076923,0.2051597514245014,0.01877920227920228,163541.75947794013
Culture,480,169,169,0.1080828402366864,0.11834319526627218,0.07721301775147929,0.035891289940828394,-0.010260355029585798,564136.4878535495
Politics,480,158,158,0.14379430379746835,0.1518987341772152,0.06926265822784809,0.03325484651898733,-0.008104430379746834,2090647.4279143421
Technology,480,97,97,0.1495721649484536,0.2268041237113402,0.1811082474226804,0.11008188402061855,-0.0772319587628866,327531.3654151449
Economy,480,89,89,0.16665168539325845,0.16853932584269662,0.09787640449438201,0.05144262921348313,-0.001887640449438197,3359638.341085194
World,480,27,27,0.08127777777777778,0.1111111111111111,0.12683333333333333,0.07575025,-0.029833333333333337,5820820.331206614
Science,480,2,2,0.09875,0.0,0.09875,0.018169625000000002,0.09875,201680.56840049993
Crypto,540,2184,2184,0.4675721153846154,0.4684065934065934,0.43563209706959705,0.21711606101190475,-0.0008344780219780192,222057.10567284367
Sports,540,1378,1378,0.46870319303338176,0.47677793904209,0.3575732946298984,0.18319452285921622,-0.008074746008708267,667909.1958575179
Uncategorized,540,662,662,0.4423791540785499,0.4214501510574018,0.40111480362537766,0.20221864879154078,0.02092900302114804,164442.1459159773
Culture,540,168,168,0.10564880952380952,0.11904761904761904,0.07829166666666668,0.038314839285714275,-0.013398809523809521,566153.1262832076
