horizon_min,volume_bucket,bin_start,bin_end,bin_mid,n,mean_signed_isotonic_gap,mean_abs_isotonic_gap,decile_volume_min,decile_volume_max
30,Decile 8,0.3,0.4,0.35,29,-0.07954444421786742,0.07954444421786742,200313.79869700025,303121.2360809998
30,Decile 8,0.4,0.5,0.45,63,-0.031493775839819306,0.031493775839819306,200313.79869700025,303121.2360809998
30,Decile 8,0.5,0.6,0.55,276,0.0037185626255469588,0.005093489503906326,200313.79869700025,303121.2360809998
30,Decile 8,0.6,0.7,0.6499999999999999,24,0.05910453216374271,0.05910453216374271,200313.79869700025,303121.2360809998
30,Decile 8,0.7,0.7999999999999999,0.75,12,0.061388888888888916,0.061388888888888916,200313.79869700025,303121.2360809998
30,Decile 8,0.8,0.9,0.8500000000000001,10,0.03271848739495803,0.03905182072829135,200313.79869700025,303121.2360809998
30,Decile 8,0.9,1.0,0.95,47,-0.006340425531914845,0.006340425531914845,200313.79869700025,303121.2360809998
30,Decile 9,0.0,0.1,0.05,181,0.0014770444271951053,0.001996419493782628,303187.61149400024,625282.5868629998
30,Decile 9,0.1,0.2,0.15000000000000002,13,-0.07558141858141855,0.07558141858141855,303187.61149400024,625282.5868629998
30,Decile 9,0.2,0.30000000000000004,0.25,33,-0.059776521600066024,0.059776521600066024,303187.61149400024,625282.5868629998
30,Decile 9,0.3,0.4,0.35,42,-0.0708845146574301,0.0708845146574301,303187.61149400024,625282.5868629998
30,Decile 9,0.4,0.5,0.45,103,-0.024302730512990964,0.024302730512990964,303187.61149400024,625282.5868629998
30,Decile 9,0.5,0.6,0.55,121,0.006905234173225881,0.010054736355350929,303187.61149400024,625282.5868629998
30,Decile 9,0.6,0.7,0.6499999999999999,35,0.06902506265664164,0.06902506265664164,303187.61149400024,625282.5868629998
30,Decile 9,0.7,0.7999999999999999,0.75,21,0.0752460317460318,0.0752460317460318,303187.61149400024,625282.5868629998
30,Decile 9,0.8,0.9,0.8500000000000001,11,0.021646549528902496,0.04255564043799338,303187.61149400024,625282.5868629998
