horizon_min,global_volume_bucket,mae,n,global_volume_min,global_volume_max
1440,Decile 5,0.2685846774193548,124,129249.27908200015,143980.54250499993
1440,Decile 6,0.2528386075949367,158,144338.91262200018,163903.887787
1440,Decile 7,0.2538876651982379,227,164018.97364100002,199565.025801
1440,Decile 8,0.2183938953488372,344,200062.343618,300275.0529909999
1440,Decile 9,0.25745167652859957,507,300653.0830789996,621381.3452940036
1440,Decile 10 (highest),0.27271568627450976,561,621410.6510470011,172972056.63332495
2880,Decile 1 (lowest),0.2593690476190476,126,88455.09488600004,97361.6700400001
2880,Decile 2,0.2197478260869565,115,97705.75495699992,106856.02341400004
2880,Decile 3,0.23687815126050418,119,107019.63682299983,117080.93029499936
2880,Decile 4,0.23476363636363634,110,117417.28259700027,129156.34190499983
2880,Decile 5,0.22676767676767676,99,129249.27908200015,143980.54250499993
2880,Decile 6,0.20053149606299212,127,144338.91262200018,163903.887787
2880,Decile 7,0.21019021739130433,184,164018.97364100002,199565.025801
2880,Decile 8,0.20503797468354432,316,200062.343618,300275.0529909999
2880,Decile 9,0.24996474358974358,468,300812.383625,621381.3452940036
2880,Decile 10 (highest),0.27260037174721186,538,621410.6510470011,172972056.63332495
