category,horizon_min,n,n_unique_markets,raw_predicted_mean,calibrated_predicted_mean,observed_yes_rate,raw_mae,raw_brier,calibrated_mae,calibrated_brier,mean_signed_isotonic_gap,mean_abs_isotonic_gap,share_positive_isotonic_gap,mean_volume
Uncategorized,420,750,750,0.450184,0.43733333333333335,0.43733333333333335,0.41168133333333334,0.207425192,0.40540783973936856,0.20270391986968428,0.012850666666666673,0.022013763205828773,0.41733333333333333,162481.0310353026
Culture,420,169,169,0.11081952662721892,0.11834319526627218,0.11834319526627218,0.07456508875739644,0.033740800295857985,0.054437869822485205,0.027218934911242606,-0.007523668639053255,0.026683431952662717,0.8461538461538461,564136.4878535494
Politics,420,158,158,0.14422784810126585,0.1518987341772152,0.1518987341772152,0.06947468354430378,0.03335513607594937,0.055960495201001534,0.027980247600500767,-0.007670886075949367,0.0221799972179719,0.7341772151898734,2090647.4279143417
Technology,420,97,97,0.1493041237113402,0.2268041237113402,0.2268041237113402,0.17786082474226803,0.10893467783505155,0.18262150220913104,0.09131075110456555,-0.07749999999999999,0.07849999999999999,0.38144329896907214,327531.3654151449
Economy,420,89,89,0.164938202247191,0.16853932584269665,0.16853932584269662,0.09502808988764043,0.048986609550561805,0.07260155574762317,0.036300777873811585,-0.0036011235955056148,0.02595289541918755,0.8539325842696629,3359638.341085194
World,420,27,27,0.08077777777777778,0.11111111111111109,0.1111111111111111,0.12555555555555553,0.07484870370370371,0.1111111111111111,0.05555555555555555,-0.030333333333333327,0.05032098765432097,0.7037037037037037,5820820.331206615
Science,420,2,2,0.08,0.0,0.0,0.08,0.011950249999999999,0.0,0.0,0.08,0.08,1.0,201680.56840049993
Crypto,480,2325,2325,0.46958666666666665,0.4752688172043011,0.4752688172043011,0.43891096774193544,0.21888977784946234,0.4362893816641966,0.2181446908320983,-0.005682150537634344,0.009174455486848006,0.10150537634408602,217477.01613832495
Sports,480,1391,1391,0.4694946081955428,0.47807332854061824,0.47807332854061824,0.3588713156002876,0.1839257260963336,0.3599996067904254,0.1799998033952127,-0.008578720345075485,0.028859473322960325,0.4162473040977714,664830.4164649709
Uncategorized,480,702,702,0.4461296296296296,0.42735042735042733,0.42735042735042733,0.4068076923076923,0.2051597514245014,0.39981589398256057,0.19990794699128034,0.018779202279202288,0.027122507122507127,0.9031339031339032,163541.75947794013
Culture,480,169,169,0.10808284023668638,0.11834319526627218,0.11834319526627218,0.07721301775147926,0.0358912899408284,0.059763313609467454,0.02988165680473373,-0.010260355029585796,0.029520710059171597,0.8284023668639053,564136.4878535494
Politics,480,158,158,0.14379430379746838,0.1518987341772152,0.1518987341772152,0.06926265822784809,0.033254846518987344,0.05098452883263011,0.02549226441631505,-0.008104430379746834,0.02494268635724332,0.7658227848101266,2090647.4279143417
Technology,480,97,97,0.1495721649484536,0.22680412371134018,0.2268041237113402,0.1811082474226804,0.11008188402061857,0.18010915706488778,0.09005457853244392,-0.07723195876288658,0.07860309278350514,0.3917525773195876,327531.3654151449
