horizon_min,volume_bucket,n,mae,mean_staleness_min,median_staleness_min,p90_staleness_min,mean_volatility_std,mean_volatility_range,mean_horizon_count_used,decile_volume_min,decile_volume_max
840,Decile 6,396,0.3480479797979798,940.9220538720538,9.416666666666666,6499.325,0.010773700766842191,0.03837121212121212,24.19191919191919,165289.25444799982,203022.50008399977
840,Decile 7,395,0.292993670886076,1073.7799156118142,9.316666666666666,7419.4033333333355,0.014538977307960865,0.05398101265822785,25.02278481012658,203115.647382,286890.2253650003
840,Decile 8,396,0.25322979797979794,1064.0576599326598,9.35,6894.208333333333,0.01784931831248505,0.06396338383838385,26.401515151515152,287042.5274590001,471131.89679199824
840,Decile 9,396,0.30124873737373736,842.4292508417509,9.35,1389.25,0.026816236278396143,0.10063131313131314,26.61868686868687,471793.413623,906728.6081650036
840,Decile 10 (highest),396,0.27181565656565654,473.5248316498317,9.283333333333331,14.458333333333332,0.013958273096648738,0.05315277777777778,26.752525252525253,907443.8153769994,172972056.63332495
900,Decile 1 (lowest),382,0.3972761780104712,252.52369109947645,9.35,9.6,0.013904841139166218,0.050497382198952875,23.471204188481675,88437.42444700007,99264.73892299952
900,Decile 2,382,0.39925392670157067,381.13612565445027,9.4,9.616666666666667,0.010576855543528487,0.038842931937172774,23.612565445026178,99273.236487,110450.04918999996
900,Decile 3,381,0.3784737532808399,570.7023184601925,9.366666666666667,9.616666666666667,0.008589543136797812,0.03178608923884515,23.755905511811022,110526.95516499988,125220.07910199992
900,Decile 4,382,0.3925183246073299,524.3829406631762,9.383333333333333,9.616666666666667,0.00834189774666988,0.03140837696335079,23.612565445026178,125238.31856700036,144070.52686999956
900,Decile 5,381,0.3821167979002625,579.9329833770779,9.4,19.03333333333333,0.005764249756745763,0.021771653543307085,23.758530183727036,144078.13384399982,168660.530161
900,Decile 6,382,0.3336086387434555,1000.5539267015706,9.433333333333334,6614.453333333335,0.011218645016046788,0.04076178010471205,24.410994764397905,168798.23919400008,208528.672651
900,Decile 7,381,0.28026509186351706,1092.9793525809273,9.383333333333333,7419.316666666667,0.014743038562487938,0.053922572178477686,25.598425196850393,208626.10884100007,298180.29561499966
900,Decile 8,382,0.2545196335078534,1109.9267452006982,9.416666666666666,7022.371666666669,0.019806676270475027,0.07147251308900524,26.44240837696335,298364.1806650002,485937.6633590004
900,Decile 9,381,0.30294488188976376,833.6139545056868,9.4,789.1,0.025623291225594518,0.09654330708661418,26.658792650918635,486348.7467639999,934723.1452180012
900,Decile 10 (highest),382,0.27192931937172776,463.35047993019197,9.383333333333333,19.046666666666667,0.01416119449173014,0.05376963350785341,26.7434554973822,938382.735690989,172972056.63332495
960,Decile 1 (lowest),367,0.39330108991825613,259.95358764759305,9.383333333333333,9.673333333333334,0.014363126274742993,0.052549046321525884,23.929155313351497,88437.42444700007,99714.21235099983
960,Decile 2,367,0.388775204359673,412.0851498637602,9.4,9.953333333333335,0.010847853585409031,0.040047683923705724,24.070844686648503,99738.655973,110991.38481200006
960,Decile 3,366,0.37331830601092897,614.0160746812386,9.4,9.975000000000001,0.009223710771281358,0.03410655737704918,24.19945355191257,111071.03035499997,126509.56250599957
960,Decile 4,367,0.37988283378746596,567.1803360581289,9.383333333333333,19.256666666666668,0.008772910635473249,0.033361035422343324,23.989100817438693,126623.28856699952,146180.7330809999
960,Decile 5,367,0.38091825613079017,591.4977293369664,9.416666666666666,19.29,0.005723201259960863,0.02109264305177112,24.05449591280654,146200.36902600006,172606.0023400006
960,Decile 6,366,0.316,1096.7566029143898,9.433333333333334,7014.116666666667,0.012213421320268019,0.04513387978142077,25.095628415300546,172631.13869899965,215462.707338
960,Decile 7,367,0.26724386920980925,1189.3647138964577,9.383333333333333,7453.306666666667,0.015395763066203754,0.05579700272479564,25.912806539509535,215644.1324380001,311484.59004499967
